id;titulo;titulo_ingles;valoracion;generos;tipo
162;Pita Ten;Pita-Ten;7.04;Comedy|Fantasy|Kids|Romance|School|Shounen;TV
163;Power Stone;;6.54;Adventure|Comedy|Fantasy|Historical|Shounen;TV
164;Mononoke Hime;Princess Mononoke;8.79;Action|Adventure|Fantasy;Movie
165;RahXephon;RahXephon;7.49;Action|Drama|Mecha|Music|Mystery|Psychological|Romance|Sci-Fi;TV
166;Samurai 7;Samurai 7;7.56;Historical|Mecha|Samurai|Sci-Fi;TV
167;Scrapped Princess;Scrapped Princess;7.47;Adventure|Comedy|Drama|Fantasy|Mecha|Sci-Fi|Shounen;TV
168;s.CRY.ed;s-CRY-ed;7.43;Action|Sci-Fi|Adventure|Super Power|Drama;TV
169;Shingetsutan Tsukihime;Lunar Legend Tsukihime;7.02;Action|Horror|Mystery|Romance|Super Power|Supernatural|Vampire;TV
170;Slam Dunk;Slam Dunk;8.54;Comedy|Sports|Drama|School|Shounen;TV
171;Strange Dawn;;6.53;Adventure|Drama|Fantasy;TV
173;Tactics;;7.30;Mystery|Comedy|Historical|Demons|Supernatural|Drama|Shounen;TV
174;Tenjou Tenge;Tenjho Tenge;7.04;Action|Ecchi|Martial Arts|Comedy|Super Power|School|Shounen;TV
175;Tokyo Underground;Tokyo Underground;6.69;Action|Adventure|Romance|Sci-Fi|Shounen|Super Power;TV
176;Triangle Heart: Sweet Songs Forever;;6.25;Adventure|Romance;OVA
177;Tsubasa Chronicle;Tsubasa RESERVoir CHRoNiCLE;7.63;Action|Adventure|Fantasy|Magic|Romance|Supernatural|Shounen;TV
178;Ultra Maniac;Ultramaniac - Magical Girl;7.26;Magic|Comedy|Romance|School|Shoujo;TV
179;Ultra Maniac OVA;;6.76;Magic|Comedy|Romance|School;OVA
180;Vandread;Vandread;7.28;Action|Ecchi|Mecha|Sci-Fi|Shounen|Space;TV
181;Vandread: The Second Stage;;7.49;Action|Ecchi|Mecha|Sci-Fi|Shounen|Space;TV
182;Tenkuu no Escaflowne;The Vision of Escaflowne;7.76;Adventure|Psychological|Romance|Fantasy|Mecha|Shoujo;TV
183;Whistle!;;7.49;School|Shounen|Sports;TV
184;Xenosaga The Animation;;6.43;Action|Mecha|Sci-Fi|Shounen|Space;TV
185;Initial D First Stage;Initial D First Stage;8.29;Action|Cars|Drama|Seinen|Sports;TV
186;Initial D Second Stage;Initial D Second Stage;8.16;Action|Cars|Sports|Drama|Seinen;TV
187;Initial D Third Stage;;7.96;Action|Cars|Sports|Drama|Romance|Seinen;Movie
188;Gosenzo San'e;Masquerade;6.22;Comedy|Hentai|Mystery|Supernatural;OVA
189;Love Hina;Love Hina;7.23;Comedy|Ecchi|Harem|Romance|Shounen|Slice of Life;TV
190;Love Hina Again;Love Hina Again;7.32;Comedy|Drama|Ecchi|Romance|Shounen;OVA
191;Love Hina Christmas Special: Silent Eve;Love Hina Christmas Movie;7.41;Slice of Life|Comedy|Romance;Special
192;Love Hina Haru Special: Kimi Sakura Chiru Nakare!!;Love Hina Spring Movie;7.28;Adventure|Comedy|Romance;Special
193;Maburaho;Maburaho;6.92;Comedy|Drama|Ecchi|Harem|Magic|Romance|School;TV
194;Macross Zero;Macross Zero;7.63;Adventure|Mecha|Military|Sci-Fi|Shounen;OVA
195;Onegai☆Teacher;Please Teacher!;7.29;Sci-Fi|Comedy|Drama|Romance|School;TV
196;Onegai☆Twins;Please Twins;6.98;Comedy|Drama|Harem|School|Sci-Fi;TV
197;Rizelmine;;6.61;Sci-Fi|Comedy|Romance|Ecchi|School;TV
198;Speed Grapher;Speed Grapher;7.42;Action|Mystery|Super Power;TV
199;Sen to Chihiro no Kamikakushi;Spirited Away;8.91;Adventure|Supernatural|Drama;Movie
200;Tenshi na Konamaiki;Cheeky Angel;7.56;Comedy|Magic|Romance|Shounen;TV
201;Video Girl Ai;;7.28;Comedy|Drama|Ecchi|Romance;OVA
202;Wolf's Rain;Wolf's Rain;7.89;Action|Adventure|Drama|Fantasy|Mystery|Sci-Fi;TV
203;Words Worth;;6.85;Adventure|Demons|Fantasy|Hentai|Magic;OVA
204;Yumeria;;6.20;Action|Comedy|Ecchi|Harem|Super Power;TV
206;Lodoss-tou Senki: Eiyuu Kishi Den;Record of Lodoss War: Chronicles of the Heroic Knight;7.22;Action|Adventure|Drama|Magic|Romance|Fantasy;TV
207;Lodoss-tou Senki;Record of Lodoss War;7.50;Action|Adventure|Fantasy|Magic|Shounen|Supernatural;OVA
208;R.O.D OVA;R.O.D - Read or Die;7.74;Action|Adventure|Historical|Magic|Mystery|Sci-Fi;OVA
209;R.O.D the TV;R.O.D -The TV-;7.61;Action|Adventure|Comedy|Drama|Sci-Fi|Super Power;TV
210;Ranma ½;Ranma ½;7.84;Slice of Life|Comedy|Martial Arts|Fantasy|Shounen;TV
211;Pure Mail;;6.34;Hentai;OVA
212;Project A-Ko;;6.97;Action|Adventure|Comedy|Mecha|Sci-Fi|Super Power;Movie
213;Pia Carrot e Youkoso!!;Welcome to Pia Carrot;6.13;Comedy|Romance|Hentai;OVA
214;Pia Carrot e Youkoso!! 2;Welcome To Pia Carrot 2;6.30;Comedy|Romance|Hentai;OVA
215;Pia Carrot e Youkoso!! 2 DX;;6.43;Comedy|Romance;OVA
216;Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari;Welcome to Pia Carrot! Sayaka's Love Story;6.00;Comedy|Romance;Movie
217;Shin Angel;New Angel;6.38;Comedy|Drama|Hentai|Romance;OVA
218;Kidou Senkan Nadesico;Martian Successor Nadesico;7.57;Action|Comedy|Mecha|Military|Parody|Romance|Sci-Fi|Shounen|Space;TV
219;Kidou Senkan Nadesico: The Prince of Darkness;Martian Successor Nadesico: The Prince of Darkness;6.84;Action|Comedy|Drama|Mecha|Psychological|Sci-Fi|Shounen|Space;Movie
220;Kuro no Danshou;Mystery of the Necronomicon;5.93;Hentai|Horror;OVA
221;Mezzo Forte;;6.72;Action|Comedy|Hentai|Sci-Fi;OVA
222;Mezzo DSA;;6.75;Action|Adventure|Comedy|Mystery|Sci-Fi;TV
223;Dragon Ball;Dragon Ball;8.14;Adventure|Comedy|Fantasy|Martial Arts|Shounen|Super Power;TV
225;Dragon Ball GT;Dragon Ball GT;6.66;Action|Adventure|Comedy|Fantasy|Magic|Sci-Fi|Shounen|Super Power;TV
226;Elfen Lied;Elfen Lied;7.73;Action|Horror|Psychological|Supernatural|Drama|Romance|Seinen;TV
227;FLCL;FLCL;8.07;Action|Sci-Fi|Comedy|Parody|Dementia|Psychological|Mecha;OVA
228;Jigoku Shoujo;Hell Girl;7.74;Mystery|Horror|Psychological|Supernatural;TV
229;Ninin ga Shinobuden;Ninja Nonsense;6.99;Comedy|Parody|Martial Arts;TV
230;Air Master;Air Master;7.10;Action|Comedy|Martial Arts|Seinen;TV
231;Asagiri no Miko;Shrine of the Morning Mist;6.25;Action|Comedy|Supernatural|Fantasy|Seinen;TV
232;Cardcaptor Sakura;Cardcaptor Sakura;8.21;Adventure|Comedy|Drama|Magic|Romance|Fantasy|School|Shoujo;TV
233;Daa! Daa! Daa!;;7.77;Comedy|Sci-Fi|Shoujo;TV
234;Dan Doh!!;;6.75;Adventure|Sports|Shounen;TV
235;Detective Conan;Case Closed;8.25;Adventure|Mystery|Comedy|Police|Shounen;TV
236;E's Otherwise;E's Otherwise;6.70;Adventure|Comedy|Drama|Military|Sci-Fi|Shounen|Supernatural;TV
237;Koukyoushihen Eureka Seven;Eureka Seven;8.14;Adventure|Drama|Mecha|Romance|Sci-Fi;TV
238;Rekka no Honoo;Flame of Recca;7.41;Action|Adventure|Martial Arts|Shounen|Super Power;TV
239;Gankutsuou;Gankutsuou: The Count of Monte Cristo;8.21;Drama|Mystery|Sci-Fi|Supernatural|Thriller;TV
240;Genshiken;Genshiken;7.71;Slice of Life|Comedy|Parody;TV
241;Girls Bravo: First Season;Girls Bravo;6.59;Harem|Comedy|Romance|Ecchi|Fantasy|School|Shounen;TV
242;Gokusen;The Gokusen;7.47;Slice of Life|Comedy|Drama|School|Josei;TV
243;Gravitation;Gravitation;7.19;Comedy|Music|Romance|Shoujo|Shounen Ai;TV
244;Agatha Christie no Meitantei Poirot to Marple;Agatha Christie's Great Detectives Poirot and Marple;6.92;Historical|Mystery;TV
245;Great Teacher Onizuka;Great Teacher Onizuka;8.73;Comedy|Drama|School|Shounen|Slice of Life;TV
246;Groove Adventure Rave;Rave Master;7.38;Adventure|Comedy|Fantasy|Romance|Shounen;TV
247;Harukanaru Toki no Naka de: Hachiyou Shou;Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians;7.14;Fantasy|Magic|Supernatural|Demons|Historical|Shoujo;TV
248;Ichigo 100%;Strawberry 100%;6.77;Comedy|Ecchi|Harem|Romance|Shounen;TV
249;InuYasha;InuYasha;7.91;Action|Adventure|Comedy|Historical|Demons|Supernatural|Magic|Romance|Fantasy|Shounen;TV
250;Konjiki no Gash Bell!!;Zatch Bell!;7.63;Adventure|Comedy|Demons|Supernatural|Magic|Shounen;TV
251;Kyou kara Maou!;King From Now On!;7.83;Adventure|Comedy|Demons|Fantasy|Shoujo;TV
252;Madlax;;7.13;Military|Mystery|Psychological|Supernatural|Drama|Magic|Shounen;TV
253;Jungle wa Itsumo Hare nochi Guu;Haré+Guu;7.92;Slice of Life|Comedy|School;TV
254;Jungle wa Itsumo Hare nochi Guu Deluxe;Haré+Guu Deluxe;7.91;Comedy|Slice of Life;OVA
255;Jungle wa Itsumo Hare nochi Guu Final;;7.73;Slice of Life|Comedy;OVA
256;Hoshi no Koe;Voices of a Distant Star;7.37;Sci-Fi|Space|Drama|Romance|Mecha;OVA
257;Ikkitousen;Ikki Tousen;6.56;Ecchi|Super Power|Martial Arts|School;TV
258;Hitsuji no Uta;;6.35;Horror|Drama|Vampire;OVA
259;Happy☆Lesson;;6.71;Comedy|Harem|Romance|School;OVA
260;Happy☆Lesson (TV);;6.76;Comedy|Drama|Harem|Romance|Slice of Life;TV
261;Happy☆Lesson: Advance;;6.93;Comedy|Harem|Romance|Slice of Life;TV
262;Happy☆Lesson: The Final;;6.92;Comedy|Harem|Romance|School;OVA
263;Hajime no Ippo;Fighting Spirit;8.79;Comedy|Sports|Drama|Shounen;TV
